id,code,name
2745,LAW 20238 01,International Trade Law and Policy: Seminar
2746,LAW 20241 01,Conflict of Laws
2747,LAW 20247 01,American Indian Sovereignty Project: Directed Research
2748,LAW 20254 01,Regional Human Rights Protection: the Inter-American System
2749,LAW 20256 01,Directed Research in Political Economy and Law
2750,LAW 20259 01,Constitutional Litigation Seminar
2751,LAW 20260 01,Law and Political Economy
2753,LAW 20292 01,The Law of State and Local Budgets
2754,LAW 20297 01,Energy Law and Policy
2754,ENV 823 01,Energy Law and Policy
2755,LAW 20301 01,Professional Responsibility in Comparative Perspective
2756,LAW 20316 01,History and Theory of Secured Transactions: Seminar
2756,MGT 673 01,History and Theory of Secured Transactions: Seminar
2757,LAW 20317 01,Secured Transactions
2757,MGT 667 01,Secured Transactions
2758,LAW 20325 01,Technology in the Practice of Law
2759,LAW 20335 01,Law and Religion: Comparative and Historical Perspectives
2759,RLST 622 01,Law and Religion: Comparative and Historical Perspectives
2760,LAW 20342 01,"States, Mass Torts, and What's at Stake"
2761,LAW 20350 01,Internal Investigations
2762,LAW 20366 01,Federal Courts
2763,LAW 20376 01,"Networks, Law, and Entrepreneurial Strategy"
2764,LAW 20395 01,Comparative Criminal Procedure
2765,LAW 20405 01,Financial Accounting
2766,LAW 20429 01,"Race, Inequality, and the Law: Directed Research"
2767,LAW 20438 01,Accountability and Institutional Design
2768,LAW 20439 01,The American Legal Profession
2769,LAW 20442 01,Doing Constitutional Law: Some Contemporary Theories
2770,LAW 20449 01,Supreme Court Amicus Brief Project: Directed Research
2771,LAW 20450 01,[The] First Amendment
2772,LAW 20459 01,Reading the Constitution: Method and Substance
2773,LAW 20467 01,"Brain Injury, Medical Ethics and Disability Rights: Directed Research"
2775,LAW 20486 01,Advanced Legal Research: Methods and Sources
2776,LAW 20487 01,Advanced Comparative Law
2779,LAW 20530 01,Advanced Contracts: Seminar
2780,LAW 20557 01,Torts and Regulation
2781,LAW 20558 01,Law and Inequality
2782,LAW 20563 01,Legal Theory Workshop Colloquium
2783,LAW 20568 01,"Sexuality, Gender, Health, and Human Rights"
2783,GLBL 7095 01,"Sexuality, Gender, Health, and Human Rights"
2783,SBS 585 01,"Sexuality, Gender, Health, and Human Rights"
2783,WGSS 529 01,"Sexuality, Gender, Health, and Human Rights"
2784,LAW 20583 01,Post-Conviction Criminal Procedure
2785,LAW 20589 01,Applied Corporate Finance
2786,LAW 20596 01,Veterans Benefits Law
2788,LAW 20611 01,Immigration Law
2789,LAW 20615 01,Access to Law School: Seminar
2790,LAW 20617 01,Access to Law School: Fieldwork
2791,LAW 20619 01,Advanced Access to Law School: Fieldwork
2792,LAW 20629 01,Antitrust
2793,LAW 20630 01,Robber Barons Reconsidered
2794,LAW 20647 01,Empirical Research for Lawyers
2795,LAW 20655 01,Advanced Federal Indian Law: Contemporary Issues
2796,LAW 20660 01,Legitimacy
2797,LAW 20670 01,Chinese Law and Society
2797,GLBL 6170 01,Chinese Law and Society
2798,LAW 20677 01,International Humanitarian Law
2799,LAW 20681 01,"U.S.-China Diplomacy: Policy, Law, Strategy"
2800,LAW 20684 01,Administrative Law and Bureaucracy: Supervised Research
2802,LAW 20834 01,Interpersonal and Group Dynamics
2803,LAW 20835 01,Presidential Powers
2804,LAW 20836 01,Directed Research in Constitutional Law
2805,LAW 20837 01,The Russo-Ukrainian War
2805,GLBL 7175 01,The Russo-Ukrainian War
2806,LAW 20838 01,Leadership in Government
2807,LAW 21041 01,"Law, Economics, and Organization"
2808,LAW 21414 01,Foundations of American Legal Thought
2809,LAW 21834 01,Everyday Leadership
2810,LAW 26402 01,Basics of Accounting
2811,LAW 26403 01,Probability Modeling and Statistics
2812,LAW 26404 01,Basics of Economics
2813,LAW 26405 01,Modeling Managerial Decisions
2814,LAW 26410 01,Competitor
2815,LAW 26412 01,Investor
2816,LAW 30104 01,Advanced Community and Economic Development Clinic: Seminar
2817,LAW 30116 01,Housing Clinic: Fieldwork
2818,LAW 30122 01,Housing and Community Development: Seminar
2819,LAW 30123 01,Veterans Legal Services Clinic: Seminar
2820,LAW 30124 01,Veterans Legal Services Clinic:  Fieldwork
2821,LAW 30125 01,Advanced Veterans Legal Services Clinic: Seminar
2822,LAW 30126 01,Advanced Veterans Legal Services Clinic: Fieldwork
2823,LAW 30127 01,Worker and Immigrant Rights Advocacy Clinic: Seminar
2824,LAW 30128 01,Worker and Immigrant Rights Advocacy: Fieldwork
2825,LAW 30129 01,Advanced Worker and Immigrant Rights Advocacy Clinic: Seminar
2826,LAW 30130 01,Advanced Worker and Immigrant Rights Advocacy Clinic: Fieldwork
2827,LAW 30131 01,Community and Economic Development: Fieldwork
2828,LAW 30132 01,Advanced Community and Economic Development: Fieldwork
2829,LAW 30135 01,Challenging Mass Incarceration Clinic: Seminar
2830,LAW 30136 01,Challenging Mass Incarceration Clinic: Fieldwork
2831,LAW 30146 01,Advanced Challenging Mass Incarceration Clinic: Fieldwork
2832,LAW 30149 01,Criminal Justice Advocacy Clinic: Fieldwork
2833,LAW 30150 01,Advanced Housing Clinic: Seminar
2834,LAW 30151 01,Advanced Housing Clinic: Fieldwork
2835,LAW 30164 01,Environmental Protection Clinic: Policy and Advocacy
2835,ENV 970 01,Environmental Protection Clinic: Policy and Advocacy
2836,LAW 30165 01,Advanced Environmental Protection Clinic
2836,ENV 972 01,Advanced Environmental Protection Clinic
2837,LAW 30171 01,Advanced International Refugee Assistance Project
2838,LAW 30172 01,Liman Projects: Research for Reform
2839,LAW 30173 01,Lowenstein International Human Rights Clinic
2840,LAW 30174 01,Advanced Lowenstein International Human Rights Clinic
2841,LAW 30175 01,Media Freedom and Information Access Clinic
2842,LAW 30176 01,Advanced Media Freedom and Information Access Clinic
2843,LAW 30178 01,Local Government in Action: San Francisco Affirmative Litigation Project
2844,LAW 30179 01,Advanced San Francisco Affirmative Litigation Project
2845,LAW 30180 01,Supreme Court Advocacy Clinic
2846,LAW 30181 01,Advanced Supreme Court Advocacy Clinic
2847,LAW 30186 01,Health Justice Practicum
2847,EMD 588 01,Health Justice Practicum
2847,SBS 588 01,Health Justice Practicum
2848,LAW 30193 01,Prosecution Externship and Instruction
2849,LAW 30194 01,Legal Assistance: Immigrant Rights Clinic: Seminar
2850,LAW 30195 01,Legal Assistance: Immigrant Rights Clinic: Fieldwork
2851,LAW 30200 01,Advanced Appellate Litigation Project
2852,LAW 30203 01,Advanced Legal Assistance: Immigrant Rights Clinic Fieldwork
2853,LAW 30211 01,Financial Markets and Corporate Law Clinic
2854,LAW 30212 01,International Arbitration
2855,LAW 30215 01,Corporate Crisis Management
2856,LAW 30218 01,Advanced Written Advocacy
2857,LAW 30226 01,Reproductive Rights and Justice Project: Seminar
2858,LAW 30229 01,Reproductive Rights and Justice Project: Fieldwork
2859,LAW 30230 01,Advanced Reproductive Rights and Justice Project: Seminar
2860,LAW 30231 01,Advanced Reproductive Rights and Justice Project: Fieldwork
2861,LAW 30234 01,Entrepreneurship and Innovation Clinic: Seminar
2862,LAW 30236 01,Entrepreneurship and Innovation Clinic: Fieldwork
2863,LAW 30237 01,Advanced Entrepreneurship and Innovation Clinic: Seminar
2864,LAW 30238 01,Advanced Entrepreneurship and Innovation Clinic: Fieldwork
2865,LAW 30241 01,"Climate, Animals, Food, and Environment Law and Policy Lab"
2865,ENV 990 01,"Climate, Animals, Food, and Environment Law and Policy Lab"
2866,LAW 30242 01,"Advanced Climate, Animals, Food, and Environment Law and Policy Lab"
2867,LAW 30245 01,Strategic Advocacy Clinic
2868,LAW 30246 01,"Policing, Law, and Policy Clinic"
2869,LAW 30248 01,Advanced Strategic Advocacy Clinic
2870,LAW 30249 01,"Advanced Policing, Law, and Policy Clinic"
2871,LAW 30250 01,Advanced Connecticut Parental Act Clinic
2872,LAW 30253 01,Private Law Clinic
2875,LAW 40001 01,Supervised Research
2876,LAW 40001 02,Supervised Research
2877,LAW 40001 03,Supervised Research
2878,LAW 40001 04,Supervised Research
2879,LAW 40001 05,Supervised Research
2880,LAW 40001 06,Supervised Research
2881,LAW 40001 07,Supervised Research
2882,LAW 40001 08,Supervised Research
2883,LAW 40001 09,Supervised Research
2884,LAW 40001 10,Supervised Research
2885,LAW 40001 11,Supervised Research
2886,LAW 40001 12,Supervised Research
2887,LAW 40001 13,Supervised Research
2888,LAW 40001 14,Supervised Research
2889,LAW 40001 15,Supervised Research
2890,LAW 40001 16,Supervised Research
2891,LAW 40001 17,Supervised Research
2892,LAW 40001 18,Supervised Research
2893,LAW 40001 19,Supervised Research
2894,LAW 40001 20,Supervised Research
2895,LAW 40001 21,Supervised Research
2896,LAW 40001 22,Supervised Research
2897,LAW 40001 23,Supervised Research
2898,LAW 40001 24,Supervised Research
2899,LAW 40001 25,Supervised Research
2900,LAW 40001 26,Supervised Research
2901,LAW 40001 27,Supervised Research
2902,LAW 40001 28,Supervised Research
2903,LAW 40001 29,Supervised Research
2904,LAW 40001 30,Supervised Research
2905,LAW 40001 31,Supervised Research
2906,LAW 40001 32,Supervised Research
2907,LAW 40001 33,Supervised Research
2908,LAW 40001 34,Supervised Research
2909,LAW 40001 35,Supervised Research
2910,LAW 40001 36,Supervised Research
2911,LAW 40001 37,Supervised Research
2912,LAW 40001 38,Supervised Research
2913,LAW 40001 39,Supervised Research
2914,LAW 40001 40,Supervised Research
2915,LAW 40001 41,Supervised Research
2916,LAW 40001 42,Supervised Research
2917,LAW 40001 43,Supervised Research
2918,LAW 40001 44,Supervised Research
2919,LAW 40001 45,Supervised Research
2920,LAW 40001 46,Supervised Research
2921,LAW 40001 47,Supervised Research
2922,LAW 40001 48,Supervised Research
2923,LAW 40001 49,Supervised Research
2924,LAW 40001 50,Supervised Research
2925,LAW 40002 01,Supervised Research
2926,LAW 40002 02,Supervised Research
2927,LAW 40002 03,Supervised Research
2928,LAW 40002 04,Supervised Research
2929,LAW 40002 05,Supervised Research
2930,LAW 40002 06,Supervised Research
2931,LAW 40003 01,Supervised Reading
2932,LAW 40003 02,Supervised Reading
2933,LAW 40014 01,Supervised Research for Research Assistants
2934,LAW 40014 02,Supervised Research for Research Assistants
2935,LAW 40014 03,Supervised Research for Research Assistants
2936,LAW 40014 04,Supervised Research for Research Assistants
2937,LAW 50100 01,Student Reading Group: RdgGrp:Constitutional Remedies
