id,code,name
5392,LAW 21574 01,New Developments in Legislation and Statutory Interpretation
5393,LAW 21575 01,Law and Psychology
5394,LAW 21582 01,Partnership Taxation
5395,LAW 21597 01,Capitalism Film Society
5396,LAW 21601 01,Administrative Law
5397,LAW 21602 01,Advanced Antitrust
5398,LAW 21603 01,Statutory Torts
5399,LAW 21608 01,Torts and Regulation
5400,LAW 21610 01,Torts and Regulation
5401,LAW 21619 01,[The] Art of Argument
5402,LAW 21622 01,Access to Law School: Seminar
5403,LAW 21623 01,Access to Law School: Fieldwork
5404,LAW 21624 01,Advanced Access to Law School: Fieldwork
5405,LAW 21625 01,Social Media Governance
5406,LAW 21635 01,International Trade Law and Policy: Seminar
5407,LAW 21649 01,Topics in Behavioral Law and Economics
5408,LAW 21651 01,[The] Law of the Sea
5408,ENV 865 01,[The] Law of the Sea
5408,GLBL 7045 01,[The] Law of the Sea
5409,LAW 21660 01,Legitimacy as a Legal Concept: Seminar
5410,LAW 21664 01,The Lawyer as Leader
5411,LAW 21667 01,Criminal Procedure: Investigation
5412,LAW 21676 01,Forgiveness and Mercy in Law
5413,LAW 21684 01,Administrative Law and Bureaucracy: Supervised Research
5414,LAW 21696 01,Sustainable Development Law and Governance
5414,ENV 861 01,Sustainable Development Law and Governance
5415,LAW 21710 01,Legal Writing II
5416,LAW 21718 01,Aggregate Litigation
5417,LAW 21722 01,Statutory Interpretation in the Regulatory State
5418,LAW 21737 01,"Artificial Intelligence, the Legal Profession, and Procedure: Seminar"
5419,LAW 21739 01,Federal Indian Law
5419,ENV 775 01,Federal Indian Law
5420,LAW 21767 01,Food and Drug Administration Law and Policy
5423,LAW 21787 01,Foreign Relations and International Law in Practice
5424,LAW 21788 01,Decentralized Resistance
5425,LAW 21789 01,"Normative, Legal, and Empirical Analyses of Discrimination"
5425,PHIL 761 01,"Normative, Legal, and Empirical Analyses of Discrimination"
5426,LAW 21834 01,Everyday Leadership
5427,LAW 30104 01,Advanced Community and Economic Development Clinic: Seminar
5428,LAW 30116 01,Housing Clinic: Fieldwork
5429,LAW 30122 01,Housing and Community Development: Seminar
5430,LAW 30123 01,Veterans Legal Services Clinic: Seminar
5431,LAW 30124 01,Veterans Legal Services Clinic:  Fieldwork
5432,LAW 30125 01,Advanced Veterans Legal Services Clinic: Seminar
5433,LAW 30126 01,Advanced Veterans Legal Services Clinic: Fieldwork
5434,LAW 30127 01,Worker and Immigrant Rights Advocacy Clinic: Seminar
5435,LAW 30128 01,Worker and Immigrant Rights Advocacy: Fieldwork
5436,LAW 30129 01,Advanced Worker and Immigrant Rights Advocacy Clinic: Seminar
5437,LAW 30130 01,Advanced Worker and Immigrant Rights Advocacy Clinic: Fieldwork
5438,LAW 30131 01,Community and Economic Development: Fieldwork
5439,LAW 30132 01,Advanced Community and Economic Development: Fieldwork
5440,LAW 30135 01,Challenging Mass Incarceration Clinic: Seminar
5441,LAW 30136 01,Challenging Mass Incarceration Clinic: Fieldwork
5442,LAW 30143 01,Free Exercise Clinic: Seminar
5443,LAW 30144 01,Free Exercise Clinic: Fieldwork
5444,LAW 30145 01,Advanced Challenging Mass Incarceration Clinic: Seminar
5445,LAW 30146 01,Advanced Challenging Mass Incarceration Clinic: Fieldwork
5446,LAW 30149 01,Criminal Justice Advocacy Clinic: Fieldwork
5447,LAW 30150 01,Advanced Housing Clinic: Seminar
5448,LAW 30151 01,Advanced Housing Clinic: Fieldwork
5449,LAW 30153 01,Advanced Free Exercise Clinic
5450,LAW 30164 01,Environmental Protection Clinic: Policy and Advocacy
5450,ENV 970 01,Environmental Protection Clinic: Policy and Advocacy
5451,LAW 30165 01,Advanced Environmental Protection Clinic
5451,ENV 972 01,Advanced Environmental Protection Clinic
5452,LAW 30170 01,International Refugee Assistance Project
5453,LAW 30171 01,Advanced International Refugee Assistance Project
5454,LAW 30172 01,Liman Projects: Research for Reform
5455,LAW 30173 01,Lowenstein International Human Rights Clinic
